Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
Stadsmiljönämnden;TRACK TEC GMBH;106/5727/0626;4001291513;4101;Inköp anläggnings och underhållsmaterial;9 835 315,00
Kretslopp och Vatten;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;5601378982;6185;Anläggningsentreprenad;870,00
Kretslopp och Vatten;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;5601377374;6185;Anläggningsentreprenad;870,00
Kretslopp och Vatten;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;5601378519;6185;Anläggningsentreprenad;870,00
Exploateringsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;2001226894;7641;Diverse skatter och offentliga avgifter;1 000,00
Miljö- och klimatnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;8001037008;7611;Avgifter;1 000,00
Miljö- och klimatnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;8001036888;7611;Avgifter;1 000,00
Miljö- och klimatnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;8001036888;7611;Avgifter;2 000,00
Miljö- och klimatnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;8001036907;7611;Avgifter;1 000,00
Kulturnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;6901235689;7499;Övriga främmande tjänster;870,00
Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001295939;7611;Avgifter;870,00
Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001296603;7611;Avgifter;870,00
Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001296604;7611;Avgifter;870,00
Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001296605;7611;Avgifter;870,00
Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001295455;4101;Inköp anläggnings och underhållsmaterial;870,00
Stadsmiljönämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;4001295457;7641;Diverse skatter och offentliga avgifter;870,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073932;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073935;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073933;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073961;7499;Övriga främmande tjänster;4 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073963;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001074169;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001074120;7499;Övriga främmande tjänster;13 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001074127;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073930;7499;Övriga främmande tjänster;9 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001074128;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073931;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073934;7499;Övriga främmande tjänster;1 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073962;7499;Övriga främmande tjänster;8 000,00
Stadsbyggnadsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;3001073970;7499;Övriga främmande tjänster;2 000,00
Stadsfastighetsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;2302184528;7499;Övriga främmande tjänster;1 740,00
Stadsfastighetsnämnden;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;2302189127;7499;Övriga främmande tjänster;1 740,00
Socialnämnd Hisingen;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1661084929;7611;Avgifter;320,00
Socialnämnd Centrum;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1641093856;7431;Administrativa tjänster;1 740,00
Socialnämnd Centrum;POLISMYNDIGHETEN I VÄSTRA GÖTALAND;2021000076;1641093740;7641;Diverse skatter och offentliga avgifter;1 740,00
Socialnämnd Centrum;SOCIALSTYRELSEN (FB);2021000555;1641093402;6551;Trycksaker och blanketter mm;8 354,82
Stadsmiljönämnden;SMHI;2021000696;4001294375;4630;Köp av huvudverksamhet;14 261,00
Stadsmiljönämnden;SMHI;2021000696;4001294373;7433;IT-program och licensavgifter;28 674,00
Stadsmiljönämnden;SMHI;2021000696;4001294374;7433;IT-program och licensavgifter;13 333,00
Stadsfastighetsnämnden;KAMMARKOLLEGIET;2021000829;2302184422;7611;Avgifter;5 000,00
Kommuncentrala poster;TULLVERKET;2021000969;9001003961;2882;Avräkningsskulder;346,00
Äldre samt vård- och omsorgsnämnden;INSTITUTET FÖR SPRÅK OCH FOLKMINNEN;2021001082;1601695784;6461;Förbrukningsmaterial;130,20
Kretslopp och Vatten;LIVSMEDELSVERKET;2021001850;5601378641;4103;Naturprod reservd övr anl/underhållsmtrl;410,50
Kulturnämnden;ARBETSMILJÖVERKET;2021002148;6901234909;6551;Trycksaker och blanketter mm;3 568,86
Äldre samt vård- och omsorgsnämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;1601692870;7361;Straffavgifter och skadestånd;96 600,00
Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;4001295004;4630;Köp av huvudverksamhet;1 660,00
Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;4001295458;7611;Avgifter;1 660,00
Stadsmiljönämnden;LÄNSSTYRELSEN I VÄSTRA GÖTALAND;2021002361;4001295784;7611;Avgifter;1 660,00
Kretslopp och Vatten;LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN;2021002361;5601378521;7499;Övriga främmande tjänster;1 660,00
Utbildningsnämnden;GÖTEBORGS UNIVERSITET;2021003153;6101613174;7011;Transporter;17 869,65
Utbildningsnämnden;GÖTEBORGS UNIVERSITET;2021003153;6101611203;6011;Lokalhyror;205 722,17
Utbildningsnämnden;GÖTEBORGS UNIVERSITET;2021003153;6101611203;6011;Lokalhyror;411 444,83
Utbildningsnämnden;GÖTEBORGS UNIVERSITET;2021003153;6101613455;7059;Övriga resekostnader;63 716,99
Valnämnden;GÖTEBORGS UNIVERSITET;2021003153;1521003278;6011;Lokalhyror;34 424,75
Grundskolenämnden;GÖTEBORGS UNIVERSITET;2021003153;6092215810;6431;Böcker tidningar och elektronisk media;605,64
Grundskolenämnden;GÖTEBORGS UNIVERSITET;2021003153;6092217705;6431;Böcker tidningar och elektronisk media;589,60
Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092216336;6431;Böcker tidningar och elektronisk media;945,00
Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092211669;6431;Böcker tidningar och elektronisk media;744,34
Grundskolenämnden;MYNDIGHETEN FÖR TILLGÄNGLIGA MEDIER;2021003591;6092217140;6431;Böcker tidningar och elektronisk media;744,34
